Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
450243	0.368364525	0.387419635	1	1	k__Archaea; p__[Parvarchaeota]; c__[Micrarchaea]; o__[Micrarchaeles]; f__; g__; s__
4339879	0.368364525	0.387419635	1	1	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__
4400131	0.368364525	0.387419635	1	1	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__
4450456	0.326638179	0.448354128	1	1	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__
144695	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__
213389	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__
537776	0.368364525	0.387419635	1	1	k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__
141782	-0.407139738	0.333854574	1	1	k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__
144887	-0.407139738	0.333854574	1	1	k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__
518927	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__MCG; o__pGrfC26; f__; g__; s__
18486	-0.407139738	0.333854574	1	1	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__SAGMA-X; g__; s__
4400134	0.092980125	0.834829093	1	1	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__; s__
694995	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
720511	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
102237	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
142573	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
4468717	nan	nan	1	nan	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
