683649	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__[Chloracidobacteria]'		3.9	5.61	71.08419279	69.51871658
755077	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-5'		0.7		12.75870127	12.47771836
4395040	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Solibacteres'		0.6		10.93602966	10.69518717
673712	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__RB25'		0.3		5.46801483	5.347593583
243181	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-5'		0.11		2.004938771	1.960784314
818461	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__[Chloracidobacteria]'					0
550467	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__[Chloracidobacteria]'					0
113715	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__[Chloracidobacteria]'					0
86817	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__[Chloracidobacteria]'					0
2714250	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
52982	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
811187	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
4369842	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
763448	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
226487	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
1107738	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
1592984	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
538428	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
340199	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
370090	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
3093679	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
671757	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
361862	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
121575	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
714738	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
647472	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
814232	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
816631	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
4463629	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
748070	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
323729	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
1080447	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
858813	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
838527	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
541741	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
562438	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
892000	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
637184	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Acidobacteria-6'					0
4451761	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__RB25'					0
729145	[u'k__Bacteria'	 u'p__Acidobacteria'	 u'c__Solibacteres'					0
112045	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'		6.8			121.2121212
93175	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Acidimicrobiia'		1.8			32.0855615
946179	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__MB-A2-108'		1			17.82531194
558911	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'		0.8			14.26024955
237703	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Acidimicrobiia'					0
790420	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Acidimicrobiia'					0
854368	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Acidimicrobiia'					0
1012668	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Acidimicrobiia'					0
1000876	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
1081815	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
731014	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
220524	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
509487	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
847582	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
1084157	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
236466	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
552849	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
1106471	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
920852	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Actinobacteria'					0
1142871	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__MB-A2-108'					0
561452	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
249975	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
255859	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
1062966	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
244063	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
1110625	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
